Field	Date	Plot	Location	Treatment	Plant	Pod_number
site_10	24.06.2013	4	Crop	Crop	2	17
site_10	24.06.2013	4	Crop	Crop	3	36
site_10	24.06.2013	4	Crop	Crop	4	15
site_10	24.06.2013	4	Crop	Crop	5	16
site_13	24.06.2013	2	Edge	Edge	1	23
site_13	24.06.2013	2	Edge	Edge	2	36
site_13	24.06.2013	2	Edge	Edge	3	17
site_13	24.06.2013	2	Edge	Edge	4	22
site_13	24.06.2013	2	Edge	Edge	5	12
site_13	24.06.2013	4	Edge	Edge	1	22
site_13	24.06.2013	4	Edge	Edge	2	16
site_13	24.06.2013	4	Edge	Edge	3	36
site_13	24.06.2013	4	Edge	Edge	4	23
site_13	24.06.2013	4	Edge	Edge	5	17
site_13	24.06.2013	1	Edge	Edge	1	17
site_13	24.06.2013	1	Edge	Edge	2	20
site_13	24.06.2013	1	Edge	Edge	3	15
site_13	24.06.2013	1	Edge	Edge	4	11
site_13	24.06.2013	1	Edge	Edge	5	16
site_13	24.06.2013	C	Edge	Control_Edge	1	24
site_13	24.06.2013	C	Edge	Control_Edge	2	32
site_13	24.06.2013	C	Edge	Control_Edge	3	22
site_13	24.06.2013	C	Edge	Control_Edge	4	26
site_13	24.06.2013	C	Edge	Control_Edge	5	12
site_13	24.06.2013	3	Edge	Edge	1	25
site_13	24.06.2013	3	Edge	Edge	2	22
site_13	24.06.2013	3	Edge	Edge	3	23
site_13	24.06.2013	3	Edge	Edge	4	20
site_13	24.06.2013	3	Edge	Edge	5	27
site_13	24.06.2013	3	Crop	Crop	1	42
site_13	24.06.2013	3	Crop	Crop	2	46
site_13	24.06.2013	3	Crop	Crop	3	32
site_13	24.06.2013	3	Crop	Crop	4	46
site_13	24.06.2013	3	Crop	Crop	5	43
site_13	24.06.2013	C	Crop	Control_Crop	1	28
site_13	24.06.2013	C	Crop	Control_Crop	2	19
site_13	24.06.2013	C	Crop	Control_Crop	3	39
site_13	24.06.2013	C	Crop	Control_Crop	4	37
site_13	24.06.2013	C	Crop	Control_Crop	5	40
site_13	24.06.2013	4	Crop	Crop	1	37
site_13	24.06.2013	4	Crop	Crop	2	48
site_13	24.06.2013	4	Crop	Crop	3	46
site_13	24.06.2013	4	Crop	Crop	4	44
site_13	24.06.2013	4	Crop	Crop	5	48
site_13	24.06.2013	2	Crop	Crop	1	46
site_13	24.06.2013	2	Crop	Crop	2	39
site_13	24.06.2013	2	Crop	Crop	3	39
site_13	24.06.2013	2	Crop	Crop	4	42
site_13	24.06.2013	2	Crop	Crop	5	48
site_13	24.06.2013	1	Crop	Crop	1	44
site_13	24.06.2013	1	Crop	Crop	2	45
site_13	24.06.2013	1	Crop	Crop	3	42
site_13	24.06.2013	1	Crop	Crop	4	42
site_13	24.06.2013	1	Crop	Crop	5	16
site_15	24.06.2013	3	Edge	Edge	1	32
site_15	24.06.2013	3	Edge	Edge	2	31
site_15	24.06.2013	3	Edge	Edge	3	18
site_15	24.06.2013	3	Edge	Edge	4	36
site_15	24.06.2013	3	Edge	Edge	5	34
site_15	24.06.2013	C	Edge	Control_Edge	1	38
site_15	24.06.2013	C	Edge	Control_Edge	2	28
site_15	24.06.2013	C	Edge	Control_Edge	3	40
site_15	24.06.2013	C	Edge	Control_Edge	4	31
site_15	24.06.2013	C	Edge	Control_Edge	5	36
site_15	24.06.2013	2	Edge	Edge	1	16
site_15	24.06.2013	2	Edge	Edge	2	23
site_15	24.06.2013	2	Edge	Edge	3	30
site_15	24.06.2013	2	Edge	Edge	4	45
site_15	24.06.2013	2	Edge	Edge	5	19
site_15	24.06.2013	4	Edge	Edge	1	18
site_15	24.06.2013	4	Edge	Edge	2	27
site_15	24.06.2013	4	Edge	Edge	3	19
site_15	24.06.2013	4	Edge	Edge	4	34
site_15	24.06.2013	4	Edge	Edge	5	35
site_15	24.06.2013	1	Edge	Edge	1	41
site_15	24.06.2013	1	Edge	Edge	2	46
site_15	24.06.2013	1	Edge	Edge	3	39
site_15	24.06.2013	1	Edge	Edge	4	44
site_15	24.06.2013	1	Edge	Edge	5	27
site_15	24.06.2013	3	Crop	Crop	1	22
site_15	24.06.2013	3	Crop	Crop	2	17
site_15	24.06.2013	3	Crop	Crop	3	39
site_15	24.06.2013	3	Crop	Crop	4	32
site_15	24.06.2013	3	Crop	Crop	5	28
site_15	24.06.2013	2	Crop	Crop	1	35
site_15	24.06.2013	2	Crop	Crop	2	37
site_15	24.06.2013	2	Crop	Crop	3	39
site_15	24.06.2013	2	Crop	Crop	4	44
site_15	24.06.2013	2	Crop	Crop	5	26
site_15	24.06.2013	1	Crop	Crop	1	39
site_15	24.06.2013	1	Crop	Crop	2	32
site_15	24.06.2013	1	Crop	Crop	3	42
site_15	24.06.2013	1	Crop	Crop	4	31
site_15	24.06.2013	1	Crop	Crop	5	9
site_15	24.06.2013	C	Crop	Control_Crop	1	33
site_15	24.06.2013	C	Crop	Control_Crop	2	33
site_15	24.06.2013	C	Crop	Control_Crop	3	39
site_15	24.06.2013	C	Crop	Control_Crop	4	36
site_15	24.06.2013	C	Crop	Control_Crop	5	43
site_15	24.06.2013	4	Crop	Crop	1	44
site_15	24.06.2013	4	Crop	Crop	2	31
site_15	24.06.2013	4	Crop	Crop	3	41
site_15	24.06.2013	4	Crop	Crop	4	48
site_15	24.06.2013	4	Crop	Crop	5	38
site_14	24.06.2013	2	Edge	Edge	1	33
site_14	24.06.2013	2	Edge	Edge	2	18
site_14	24.06.2013	2	Edge	Edge	3	45
site_14	24.06.2013	2	Edge	Edge	4	36
site_14	24.06.2013	2	Edge	Edge	5	18
site_14	24.06.2013	1	Edge	Edge	1	29
site_14	24.06.2013	1	Edge	Edge	2	18
site_14	24.06.2013	1	Edge	Edge	3	21
site_14	24.06.2013	1	Edge	Edge	4	19
site_14	24.06.2013	1	Edge	Edge	5	6
site_14	24.06.2013	3	Edge	Edge	1	16
site_14	24.06.2013	3	Edge	Edge	2	27
site_14	24.06.2013	3	Edge	Edge	3	26
site_14	24.06.2013	3	Edge	Edge	4	11
site_14	24.06.2013	3	Edge	Edge	5	13
site_14	24.06.2013	4	Edge	Edge	1	19
site_14	24.06.2013	4	Edge	Edge	2	24
site_14	24.06.2013	4	Edge	Edge	3	16
site_14	24.06.2013	4	Edge	Edge	4	34
site_14	24.06.2013	4	Edge	Edge	5	23
site_14	24.06.2013	C	Edge	Control_Edge	1	27
site_14	24.06.2013	C	Edge	Control_Edge	2	38
site_14	24.06.2013	C	Edge	Control_Edge	3	5
site_14	24.06.2013	C	Edge	Control_Edge	4	17
site_14	24.06.2013	C	Edge	Control_Edge	5	4
site_14	24.06.2013	C	Crop	Control_Crop	1	17
site_14	24.06.2013	C	Crop	Control_Crop	2	14
site_14	24.06.2013	C	Crop	Control_Crop	3	15
site_14	24.06.2013	C	Crop	Control_Crop	4	10
site_14	24.06.2013	C	Crop	Control_Crop	5	10
site_14	24.06.2013	3	Crop	Crop	1	27
site_14	24.06.2013	3	Crop	Crop	2	31
site_14	24.06.2013	3	Crop	Crop	3	15
site_14	24.06.2013	3	Crop	Crop	4	32
site_14	24.06.2013	3	Crop	Crop	5	11
site_14	24.06.2013	1	Crop	Crop	1	21
site_14	24.06.2013	1	Crop	Crop	2	16
site_14	24.06.2013	1	Crop	Crop	3	33
site_14	24.06.2013	1	Crop	Crop	4	19
site_14	24.06.2013	1	Crop	Crop	5	19
site_14	24.06.2013	4	Crop	Crop	1	21
site_14	24.06.2013	4	Crop	Crop	2	32
site_14	24.06.2013	4	Crop	Crop	3	15
site_14	24.06.2013	4	Crop	Crop	4	13
site_14	24.06.2013	4	Crop	Crop	5	12
site_14	24.06.2013	2	Crop	Crop	1	25
site_14	24.06.2013	2	Crop	Crop	2	16
site_14	24.06.2013	2	Crop	Crop	3	16
site_14	24.06.2013	2	Crop	Crop	4	7
site_14	24.06.2013	2	Crop	Crop	5	8
site_12	24.06.2013	3	Edge	Edge	1	16
site_12	24.06.2013	3	Edge	Edge	2	16
site_12	24.06.2013	3	Edge	Edge	3	12
site_12	24.06.2013	3	Edge	Edge	4	25
site_12	24.06.2013	3	Edge	Edge	5	16
site_12	24.06.2013	1	Edge	Edge	1	15
site_12	24.06.2013	1	Edge	Edge	2	17
site_12	24.06.2013	1	Edge	Edge	3	15
site_12	24.06.2013	1	Edge	Edge	4	18
site_12	24.06.2013	1	Edge	Edge	5	19
site_12	24.06.2013	4	Edge	Edge	1	26
site_12	24.06.2013	4	Edge	Edge	2	24
site_12	24.06.2013	4	Edge	Edge	3	43
site_12	24.06.2013	4	Edge	Edge	4	17
site_12	24.06.2013	4	Edge	Edge	5	15
site_12	24.06.2013	2	Edge	Edge	1	21
site_12	24.06.2013	2	Edge	Edge	2	39
site_12	24.06.2013	2	Edge	Edge	3	24
site_12	24.06.2013	2	Edge	Edge	4	25
site_12	24.06.2013	2	Edge	Edge	5	15
site_12	24.06.2013	C	Edge	Control_Edge	1	18
site_12	24.06.2013	C	Edge	Control_Edge	2	17
site_12	24.06.2013	C	Edge	Control_Edge	3	22
site_12	24.06.2013	C	Edge	Control_Edge	4	19
site_12	24.06.2013	C	Edge	Control_Edge	5	19
site_12	24.06.2013	4	Crop	Crop	1	21
site_12	24.06.2013	4	Crop	Crop	2	42
site_12	24.06.2013	4	Crop	Crop	3	34
site_12	24.06.2013	4	Crop	Crop	4	42
site_12	24.06.2013	4	Crop	Crop	5	28
site_12	24.06.2013	2	Crop	Crop	1	23
site_12	24.06.2013	2	Crop	Crop	2	31
site_12	24.06.2013	2	Crop	Crop	3	27
site_12	24.06.2013	2	Crop	Crop	4	34
site_12	24.06.2013	2	Crop	Crop	5	35
site_12	24.06.2013	1	Crop	Crop	1	8
site_12	24.06.2013	1	Crop	Crop	2	28
site_12	24.06.2013	1	Crop	Crop	3	18
site_12	24.06.2013	1	Crop	Crop	4	12
site_12	24.06.2013	1	Crop	Crop	5	13
site_12	24.06.2013	3	Crop	Crop	1	24
site_12	24.06.2013	3	Crop	Crop	2	29
site_12	24.06.2013	3	Crop	Crop	3	23
site_12	24.06.2013	3	Crop	Crop	4	16
site_12	24.06.2013	3	Crop	Crop	5	22
site_12	24.06.2013	C	Crop	Control_Crop	1	19
site_12	24.06.2013	C	Crop	Control_Crop	2	18
site_12	24.06.2013	C	Crop	Control_Crop	3	30
site_12	24.06.2013	C	Crop	Control_Crop	4	35
site_12	24.06.2013	C	Crop	Control_Crop	5	37
