"Crop_System" "Crop_yield" "Flower_Visitor_Density" "Flower_visitor_richness" "Field_size" "Vis_base" "Inten" "Isolation" "Yield_gap" "Vis_gap" "Dependence" "Latitude" "Longitude"
"144" "Brazil Solanum lycopersicum 2011" 40000 1.151 8 1 0.3234 5 1 30.952380952381 82.1798545294247 5 -21.442 -42.02
"145" "China Brassica rapa 2013" 2963.7 4.813 7.25 0.21 1.3967 -1 0.06 44.4035394318409 65.8983812290939 65 34.399 106.004
"146" "China Brassica rapa 2013" 4328.8 3.094 5.5 0.19 1.3967 0 1.85 44.4035394318409 65.8983812290939 65 34.483 105.996
"147" "China Brassica rapa 2013" 2819.4 1.406 7.5 0.06 1.3967 0 0.1 44.4035394318409 65.8983812290939 65 34.344 105.994
"148" "China Brassica rapa 2013" 4609.8 2.875 4 0.11 1.3967 0 2.3 44.4035394318409 65.8983812290939 65 34.455 105.979
"149" "China Brassica rapa 2013" 7378.4 4.016 4.25 0.06 1.3967 0 1.8 44.4035394318409 65.8983812290939 65 34.45 106.02
"150" "China Brassica rapa 2013" 3469.8 2.5 4.75 0.12 1.3967 0 1.76 44.4035394318409 65.8983812290939 65 34.469 105.985
"151" "China Brassica rapa 2013" 4133.3 3.656 6 0.1 1.3967 0 2.4 44.4035394318409 65.8983812290939 65 34.464 106.001
"152" "China Brassica rapa 2013" 1793.5 1.844 6.5 0.08 1.3967 0 0.05 44.4035394318409 65.8983812290939 65 34.355 105.988
"153" "China Brassica rapa 2013" 2833.9 1.875 9 0.13 1.3967 0 0.1 44.4035394318409 65.8983812290939 65 34.454 106.099
"154" "China Brassica rapa 2013" 3352.4 1.313 8 0.14 1.3967 -1 0.1 44.4035394318409 65.8983812290939 65 34.341 105.972
"155" "Colombia Vaccinium meridionale 2013" 0.1 6.292 2.25 0.5 4.5166 -2 0 73.7142857142857 39.070256853011 65 5.5318 -73.72915
"156" "Colombia Vaccinium meridionale 2013" 0.32 6.688 4.5 2 4.5166 -2 0 73.7142857142857 39.070256853011 65 5.57161 -73.7379
"157" "Colombia Vaccinium meridionale 2013" 0.31 7.896 5.75 2 4.5166 -2 0 73.7142857142857 39.070256853011 65 5.55415 -73.72478
"158" "Colombia Vaccinium meridionale 2013" 0.49 3.333 2.25 1 4.5166 -2 0 73.7142857142857 39.070256853011 65 5.62874 -73.72776
"159" "Colombia Vaccinium meridionale 2013" 0.84 6.542 4.5 0.5 4.5166 -2 0 73.7142857142857 39.070256853011 65 5.45865 -73.66472
"160" "Ghana Mangifera indica 2010" 16615.34 15.688 2.875 16.19 8.3595 5 1 89.7965923894919 45.7949682272079 65 6.043 0.004
"161" "Ghana Mangifera indica 2010" 9053.93 15.156 2.75 3.24 8.3595 5 0.2 89.7965923894919 45.7949682272079 65 6.038 0.003
"162" "Ghana Mangifera indica 2010" 14480.35 9.375 2.375 8.9 8.3595 5 5 89.7965923894919 45.7949682272079 65 6.12 0.001
"163" "Ghana Mangifera indica 2010" 7383.5 8.531 2.375 12.14 8.3595 5 0.3 89.7965923894919 45.7949682272079 65 6.038 0.003
"164" "Ghana Mangifera indica 2010" 2293.13 8.188 2.625 8.09 8.3595 5 0.05 89.7965923894919 45.7949682272079 65 5.952 0.02
"165" "Ghana Mangifera indica 2010" 879.69 12.906 1.5 60.7 8.3595 5 0.01 89.7965923894919 45.7949682272079 65 5.948 0.03
"166" "India Amomum subulatum 2010" 547.71 6.25 3.5 4 4.538 -2 0.2 50.1259435493481 24.2100340704122 95 27.191 88.391
"167" "India Amomum subulatum 2010" 242.79 4.438 5.25 4 4.538 -2 2.5 50.1259435493481 24.2100340704122 95 27.2 88.393
"168" "India Amomum subulatum 2010" 242.74 4.938 7 2 4.538 0 1.2 50.1259435493481 24.2100340704122 95 27.196 88.39
"169" "India Amomum subulatum 2011" 540.89 7 4.75 4 4 -2 0.2 52.0399097392029 49.6981891348088 95 27.191 88.391
"170" "India Amomum subulatum 2011" 209.95 3.25 4.25 4 4 -2 2.5 52.0399097392029 49.6981891348088 95 27.2 88.393
"171" "India Amomum subulatum 2011" 380.18 8.19 8.5 2 4 0 1.2 52.0399097392029 49.6981891348088 95 27.196 88.39
"172" "India Amomum subulatum 2012" 366.37 2.625 3.5 4 2.65 -2 0.2 43.030735495565 29.3333333333333 95 27.191 88.391
"173" "India Amomum subulatum 2012" 181.85 2.75 5.25 4 2.65 -2 2.5 43.030735495565 29.3333333333333 95 27.2 88.393
"174" "India Amomum subulatum 2012" 388.39 4 8.5 2 2.65 0 1.2 43.030735495565 29.3333333333333 95 27.196 88.39
"175" "India Brassica rapa 2011" 295.74 3.82 6 0.3 3.29 -2 0.4 37.3557716531466 41.6149068322981 65 29.62242 79.61647
"176" "India Brassica rapa 2011" 225.44 4.83 8 0.2 3.29 -2 0.4 37.3557716531466 41.6149068322981 65 29.60811 79.60194
"177" "India Brassica rapa 2011" 199.36 6.44 6 0.25 3.29 -2 0.4 37.3557716531466 41.6149068322981 65 29.74072 79.62053
"178" "India Brassica rapa 2011" 173.63 3.7 4 0.25 3.29 -2 0.4 37.3557716531466 41.6149068322981 65 29.72197 79.61811
"179" "India Brassica rapa 2011" 221.25 2.88 6 0.25 3.29 -2 0.4 37.3557716531466 41.6149068322981 65 29.62436 79.6345
"180" "India Brassica rapa 2011" 299.67 4.57 0 0.3 3.29 -2 0.4 37.3557716531466 41.6149068322981 65 29.65464 79.60111
"181" "India Brassica rapa 2012" 6.1 3.25 0 0.15 3.676 -2 0.4 44.9630238290879 36.9251887439945 65 29.66139 79.58133
"182" "India Brassica rapa 2012" 12.94 5.38 5 0.25 3.676 -2 0.4 44.9630238290879 36.9251887439945 65 29.74072 79.62053
"183" "India Brassica rapa 2012" 9.09 5.94 3 0.25 3.676 -2 0.4 44.9630238290879 36.9251887439945 65 29.72197 79.61811
"184" "India Malus domestica 2011" 21648 1.4 7.18 2.5 1.1 -1 3.5 68.6010430121614 76.4957264957265 65 32.11778 77.81944
"185" "India Malus domestica 2011" 13160 4.4 4.5 1.5 1.1 -1 2.5 68.6010430121614 76.4957264957265 65 32.05 77.13667
"186" "India Malus domestica 2011" 44770 4.1 2.34 1.5 1.1 -1 0 68.6010430121614 76.4957264957265 65 32.08306 77.15889
"187" "India Malus domestica 2011" 34720 1.1 1.17 0.25 1.1 -1 3.5 68.6010430121614 76.4957264957265 65 32.07944 77.13667
"188" "India Malus domestica 2011" 22287.3 3 3.17 2 1.1 -1 3 68.6010430121614 76.4957264957265 65 32.10194 77.13583
"189" "India Malus domestica 2011" 14504 3.6 2.98 2.5 1.1 -1 3.5 68.6010430121614 76.4957264957265 65 32.085 77.12944
"190" "India Malus domestica 2011" 27140 2.6 9.92 0.25 1.1 1 0.5 68.6010430121614 76.4957264957265 65 32.11389 77.14111
