pollinator,rank,notes
Epistrophe_nitidicollis,species,
Eristalis_arbustorum,species,
Eristalis_nemorum,species,
Eristalis_pertinax,species,
Eristalis_pratorum,species,
Eristalis_tenax,species,
Eupeodes_corollae,species,
Eupeodes_luniger,species,
Halictus_tumulorum,species,
Lasioglossum_calceatum,species,
Melanogaster_hirtella,species,
Melanostoma_mellinum,species,
Osmia_rufa,species,
Pipizella_viduata,species,
Platycheirus_albimanus,species,
Sphaerophoria_interrupta,species,
Syrphus_vitripennis,species,
Xylota_segnis,species,
Andrena_sp.,genus,
Bombus_jonellus,species,
Bombus_terrestris,species,
Cheilosia_vernalis,species,
Eristalis_horticola,species,
Helophilus_pendulus,species,
Lasioglossum_malachurum,species,
Nomada_fabriciana,species,
Nomada_marshamella,species,
Osmia_bicornis,species,
Platycheirus_angustatus,species,
Platycheirus_clypeatus,species,
Platycheirus_scutatus,species,
Sphaerophoria_sp.,genus,
Syrphus_ribesii,species,
Tropidia_scita,species,
Bombus_vestalis,species,
Eristalinus_sepulchralis,species,
Eristalis_intricaria,species,
Lasioglossum_morio,species,
Lasioglossum_sp,genus,
Melanostoma_scalare,species,
Myathropa_florea,species,
Platycheirus_splendidus,species,
Sphaerophoria_cf_scripta,species,
Andrena_praecox,species,
Andrena_tibialis,species,
Eristalis_lineata,species,
Eristalis_similis,species,
Lasioglossum_sexstrigatum,species,
Lasioglossum_leucopus,species,
Nomada_flava,species,
Nomada_ruficornis,species,
Sphaerophoria_scripta,species,
Syrphus_sp,genus,
Bombus vagans vagans,species,
Bombus affinis,species,
Bombus griseollis,species,
Andrena cressonii,species,
Megachile gemula,species,
27 bees other than apidae,morphospecies,
Sphecodes minor,species,
Megachile frigida,species,
Melitta near americana,morphospecies,
Dialictus lineatulus,species,
Dialictus rohweri,species,
Evylaeus cinctipes,species,
Auguchloropsis metallica,species,
Lasioglossum athabascense,species,
Halictus confusus,species,
Ceratina dupla/calcarata,morphospecies,
Dialictus admirandus,species,
